"Field Heading","Field Name"
"GIS_1",
"Boro","Borough (3-digit Census code)"
"DCP_Boro","Borough (1-digit DCP code)"
"PUMA_ID","Public Use Microdata Area (4-digit Census code)"
"CD_Label","NYC Community District Number"
"CD_Name","NYC Community District Name"
"HHE","Estimate; HOUSEHOLDS BY TYPE - Total households"
"HHM","Margin of Error; HOUSEHOLDS BY TYPE - Total households"
"HHP","Percent; HOUSEHOLDS BY TYPE - Total households"
"HHZ","Percent Margin of Error; HOUSEHOLDS BY TYPE - Total households"
"FamE","Estimate; HOUSEHOLDS BY TYPE - Total households - Family households (families)"
"FamM","Margin of Error; HOUSEHOLDS BY TYPE - Total households - Family households (families)"
"FamP","Percent; HOUSEHOLDS BY TYPE - Total households - Family households (families)"
"FamZ","Percent Margin of Error; HOUSEHOLDS BY TYPE - Total households - Family households (families)"
"FamChU18E","Estimate; HOUSEHOLDS BY TYPE - Total households - Family households (families) - With own children under 18 years"
"FamChU18M","Margin of Error; HOUSEHOLDS BY TYPE - Total households - Family households (families) - With own children under 18 years"
"FamChU18P","Percent; HOUSEHOLDS BY TYPE - Total households - Family households (families) - With own children under 18 years"
"FamChU18Z","Percent Margin of Error; HOUSEHOLDS BY TYPE - Total households - Family households (families) - With own children under 18 years"
"MrdFamE","Estimate; HOUSEHOLDS BY TYPE - Total households - Family households (families) - Married-couple family"
"MrdFamM","Margin of Error; HOUSEHOLDS BY TYPE - Total households - Family households (families) - Married-couple family"
"MrdFamP","Percent; HOUSEHOLDS BY TYPE - Total households - Family households (families) - Married-couple family"
"MrdFamZ","Percent Margin of Error; HOUSEHOLDS BY TYPE - Total households - Family households (families) - Married-couple family"
"MrdChU18E","Estimate; HOUSEHOLDS BY TYPE - Total households - Family households (families) - Married-couple family - With own children under 18 years"
"MrdChU18M","Margin of Error; HOUSEHOLDS BY TYPE - Total households - Family households (families) - Married-couple family - With own children under 18 years"
"MrdChU18P","Percent; HOUSEHOLDS BY TYPE - Total households - Family households (families) - Married-couple family - With own children under 18 years"
"MrdChU18Z","Percent Margin of Error; HOUSEHOLDS BY TYPE - Total households - Family households (families) - Married-couple family - With own children under 18 years"
"MHnWE","Estimate; HOUSEHOLDS BY TYPE - Total households - Family households (families) - Male householder, no wife present, family"
"MHnWM","Margin of Error; HOUSEHOLDS BY TYPE - Total households - Family households (families) - Male householder, no wife present, family"
"MHnWP","Percent; HOUSEHOLDS BY TYPE - Total households - Family households (families) - Male householder, no wife present, family"
"MHnWZ","Percent Margin of Error; HOUSEHOLDS BY TYPE - Total households - Family households (families) - Male householder, no wife present, family"
"MHnWChU18E","Estimate; HOUSEHOLDS BY TYPE - Total households - Family households (families) - Male householder, no wife present, family - With own children under 18 years"
"MHnWChU18M","Margin of Error; HOUSEHOLDS BY TYPE - Total households - Family households (families) - Male householder, no wife present, family - With own children under 18 years"
"MHnWChU18P","Percent; HOUSEHOLDS BY TYPE - Total households - Family households (families) - Male householder, no wife present, family - With own children under 18 years"
"MHnWChU18Z","Percent Margin of Error; HOUSEHOLDS BY TYPE - Total households - Family households (families) - Male householder, no wife present, family - With own children under 18 years"
"FHnHE","Estimate; HOUSEHOLDS BY TYPE - Total households - Family households (families) - Female householder, no husband present, family"
"FHnHM","Margin of Error; HOUSEHOLDS BY TYPE - Total households - Family households (families) - Female householder, no husband present, family"
"FHnHP","Percent; HOUSEHOLDS BY TYPE - Total households - Family households (families) - Female householder, no husband present, family"
"FHnHZ","Percent Margin of Error; HOUSEHOLDS BY TYPE - Total households - Family households (families) - Female householder, no husband present, family"
"FHnHChU18E","Estimate; HOUSEHOLDS BY TYPE - Total households - Family households (families) - Female householder, no husband present, family - With own children under 18 years"
"FHnHChU18M","Margin of Error; HOUSEHOLDS BY TYPE - Total households - Family households (families) - Female householder, no husband present, family - With own children under 18 years"
"FHnHChU18P","Percent; HOUSEHOLDS BY TYPE - Total households - Family households (families) - Female householder, no husband present, family - With own children under 18 years"
"FHnHChU18Z","Percent Margin of Error; HOUSEHOLDS BY TYPE - Total households - Family households (families) - Female householder, no husband present, family - With own children under 18 years"
"NFamE","Estimate; HOUSEHOLDS BY TYPE - Total households - Nonfamily households"
"NFamM","Margin of Error; HOUSEHOLDS BY TYPE - Total households - Nonfamily households"
"NFamP","Percent; HOUSEHOLDS BY TYPE - Total households - Nonfamily households"
"NFamZ","Percent Margin of Error; HOUSEHOLDS BY TYPE - Total households - Nonfamily households"
"NFamAE","Estimate; HOUSEHOLDS BY TYPE - Total households - Nonfamily households - Householder living alone"
"NFamAM","Margin of Error; HOUSEHOLDS BY TYPE - Total households - Nonfamily households - Householder living alone"
"NFamAP","Percent; HOUSEHOLDS BY TYPE - Total households - Nonfamily households - Householder living alone"
"NFamAZ","Percent Margin of Error; HOUSEHOLDS BY TYPE - Total households - Nonfamily households - Householder living alone"
"NFamA65plE","Estimate; HOUSEHOLDS BY TYPE - Total households - Nonfamily households - Householder living alone - 65 years and over"
"NFamA65plM","Margin of Error; HOUSEHOLDS BY TYPE - Total households - Nonfamily households - Householder living alone - 65 years and over"
"NFamA65plP","Percent; HOUSEHOLDS BY TYPE - Total households - Nonfamily households - Householder living alone - 65 years and over"
"NFamA65plZ","Percent Margin of Error; HOUSEHOLDS BY TYPE - Total households - Nonfamily households - Householder living alone - 65 years and over"
"HH1plU18E","Estimate; HOUSEHOLDS BY TYPE - Households with one or more people under 18 years"
"HH1plU18M","Margin of Error; HOUSEHOLDS BY TYPE - Households with one or more people under 18 years"
"HH1plU18P","Percent; HOUSEHOLDS BY TYPE - Households with one or more people under 18 years"
"HH1plU18Z","Percent Margin of Error; HOUSEHOLDS BY TYPE - Households with one or more people under 18 years"
"HH1pl65plE","Estimate; HOUSEHOLDS BY TYPE - Households with one or more people 65 years and over"
"HH1pl65plM","Margin of Error; HOUSEHOLDS BY TYPE - Households with one or more people 65 years and over"
"HH1pl65plP","Percent; HOUSEHOLDS BY TYPE - Households with one or more people 65 years and over"
"HH1pl65plZ","Percent Margin of Error; HOUSEHOLDS BY TYPE - Households with one or more people 65 years and over"
"AvgHHSzE","Estimate; HOUSEHOLDS BY TYPE - Average household size"
"AvgHHSzM","Margin of Error; HOUSEHOLDS BY TYPE - Average household size"
"AvgHHSzP","Percent; HOUSEHOLDS BY TYPE - Average household size"
"AvgHHSzZ","Percent Margin of Error; HOUSEHOLDS BY TYPE - Average household size"
"AvgFmSzE","Estimate; HOUSEHOLDS BY TYPE - Average family size"
"AvgFmSzM","Margin of Error; HOUSEHOLDS BY TYPE - Average family size"
"AvgFmSzP","Percent; HOUSEHOLDS BY TYPE - Average family size"
"AvgFmSzZ","Percent Margin of Error; HOUSEHOLDS BY TYPE - Average family size"
"HHPopE","Estimate; RELATIONSHIP - Population in households"
"HHPopM","Margin of Error; RELATIONSHIP - Population in households"
"HHPopP","Percent; RELATIONSHIP - Population in households"
"HHPopZ","Percent Margin of Error; RELATIONSHIP - Population in households"
"RshpHHldrE","Estimate; RELATIONSHIP - Population in households - Householder"
"RshpHHldrM","Margin of Error; RELATIONSHIP - Population in households - Householder"
"RshpHHldrP","Percent; RELATIONSHIP - Population in households - Householder"
"RshpHHldrZ","Percent Margin of Error; RELATIONSHIP - Population in households - Householder"
"Rshp_SpE","Estimate; RELATIONSHIP - Population in households - Spouse"
"Rshp_SpM","Margin of Error; RELATIONSHIP - Population in households - Spouse"
"Rshp_SpP","Percent; RELATIONSHIP - Population in households - Spouse"
"Rshp_SpZ","Percent Margin of Error; RELATIONSHIP - Population in households - Spouse"
"Rshp_ChE","Estimate; RELATIONSHIP - Population in households - Child"
"Rshp_ChM","Margin of Error; RELATIONSHIP - Population in households - Child"
"Rshp_ChP","Percent; RELATIONSHIP - Population in households - Child"
"Rshp_ChZ","Percent Margin of Error; RELATIONSHIP - Population in households - Child"
"Rshp_OthRE","Estimate; RELATIONSHIP - Population in households - Other relatives"
"Rshp_OthRM","Margin of Error; RELATIONSHIP - Population in households - Other relatives"
"Rshp_OthRP","Percent; RELATIONSHIP - Population in households - Other relatives"
"Rshp_OthRZ","Percent Margin of Error; RELATIONSHIP - Population in households - Other relatives"
"Rshp_NRE","Estimate; RELATIONSHIP - Population in households - Nonrelatives"
"Rshp_NRM","Margin of Error; RELATIONSHIP - Population in households - Nonrelatives"
"Rshp_NRP","Percent; RELATIONSHIP - Population in households - Nonrelatives"
"Rshp_NRZ","Percent Margin of Error; RELATIONSHIP - Population in households - Nonrelatives"
"Rshp_NRUPE","Estimate; RELATIONSHIP - Population in households - Nonrelatives - Unmarried partner"
"Rshp_NRUPM","Margin of Error; RELATIONSHIP - Population in households - Nonrelatives - Unmarried partner"
"Rshp_NRUPP","Percent; RELATIONSHIP - Population in households - Nonrelatives - Unmarried partner"
